time,V(vin_12v),V(vsense_adc),V(vsense_raw)
1.365000000000001e-03,1.200000000000000e+01,1.392191828317477e+00,1.444258201788889e+00
1.375000000000001e-03,1.200000000000000e+01,1.403217088819311e+00,1.454788164065136e+00
1.385000000000001e-03,1.200000000000000e+01,1.414137467963002e+00,1.465217956667883e+00
1.395000000000001e-03,1.200000000000000e+01,1.424953963466410e+00,1.475548532493564e+00
1.405000000000001e-03,1.200000000000000e+01,1.435667563556276e+00,1.485780835373876e+00
1.415000000000001e-03,1.200000000000000e+01,1.446279247058519e+00,1.495915800162010e+00
1.425000000000001e-03,1.200000000000000e+01,1.456789983487657e+00,1.505954352818066e+00
1.435000000000001e-03,1.200000000000000e+01,1.467200733135388e+00,1.515897410493649e+00
1.445000000000001e-03,1.200000000000000e+01,1.477512447158323e+00,1.525745881615660e+00
1.455000000000001e-03,1.200000000000000e+01,1.487726067664891e+00,1.535500665969298e+00
1.465000000000001e-03,1.200000000000000e+01,1.497842527801408e+00,1.545162654780262e+00
1.475000000000001e-03,1.200000000000000e+01,1.507862751837333e+00,1.554732730796179e+00
1.485000000000001e-03,1.200000000000000e+01,1.517787655249714e+00,1.564211768367255e+00
1.495000000000001e-03,1.200000000000000e+01,1.527618144806827e+00,1.573600633526153e+00
1.505000000000001e-03,1.200000000000000e+01,1.537355118651021e+00,1.582900184067123e+00
1.515000000000001e-03,1.200000000000000e+01,1.546999466380775e+00,1.592111269624370e+00
1.525000000000001e-03,1.200000000000000e+01,1.556552069131976e+00,1.601234731749676e+00
1.535000000000001e-03,1.200000000000000e+01,1.566013799658419e+00,1.610271403989293e+00
1.545000000000001e-03,1.200000000000000e+01,1.575385522411548e+00,1.619222111960092e+00
1.555000000000001e-03,1.200000000000000e+01,1.584668093619431e+00,1.628087673424996e+00
1.565000000000002e-03,1.200000000000000e+01,1.593862361364991e+00,1.636868898367696e+00
1.575000000000002e-03,1.200000000000000e+01,1.602969165663487e+00,1.645566589066648e+00
1.585000000000002e-03,1.200000000000000e+01,1.611989338539261e+00,1.654181540168377e+00
1.595000000000002e-03,1.200000000000000e+01,1.620923704101753e+00,1.662714538760075e+00
1.605000000000002e-03,1.200000000000000e+01,1.629773078620799e+00,1.671166364441513e+00
1.615000000000002e-03,1.200000000000000e+01,1.638538270601200e+00,1.679537789396265e+00
1.625000000000002e-03,1.200000000000000e+01,1.647220080856596e+00,1.687829578462260e+00
1.635000000000002e-03,1.200000000000000e+01,1.655819302582627e+00,1.696042489201660e+00
1.645000000000002e-03,1.200000000000000e+01,1.664336721429402e+00,1.704177271970070e+00
1.655000000000002e-03,1.200000000000000e+01,1.672773115573283e+00,1.712234669985095e+00
1.665000000000002e-03,1.200000000000000e+01,1.681129255787972e+00,1.720215419394242e+00
1.675000000000002e-03,1.200000000000000e+01,1.689405905514940e+00,1.728120249342178e+00
1.685000000000002e-03,1.200000000000000e+01,1.697603820933174e+00,1.735949882037343e+00
1.695000000000002e-03,1.200000000000000e+01,1.705723751028263e+00,1.743705032817938e+00
1.705000000000002e-03,1.200000000000000e+01,1.713766437660828e+00,1.751386410217275e+00
1.715000000000002e-03,1.200000000000000e+01,1.721732615634302e+00,1.758994716028516e+00
1.725000000000002e-03,1.200000000000000e+01,1.729623012762061e+00,1.766530645368788e+00
1.735000000000002e-03,1.200000000000000e+01,1.737438349933921e+00,1.773994886742691e+00
1.745000000000002e-03,1.200000000000000e+01,1.745179341182002e+00,1.781388122105202e+00
1.755000000000002e-03,1.200000000000000e+01,1.752846693745961e+00,1.788711026923981e+00
1.765000000000002e-03,1.200000000000000e+01,1.760441108137609e+00,1.795964270241083e+00
1.775000000000002e-03,1.200000000000000e+01,1.767963278204911e+00,1.803148514734086e+00
1.785000000000002e-03,1.200000000000000e+01,1.775413891195381e+00,1.810264416776628e+00
1.795000000000002e-03,1.200000000000000e+01,1.782793627818866e+00,1.817312626498386e+00
1.805000000000002e-03,1.200000000000000e+01,1.790103162309743e+00,1.824293787844466e+00
1.815000000000002e-03,1.200000000000000e+01,1.797343162488513e+00,1.831208538634236e+00
1.825000000000002e-03,1.200000000000000e+01,1.804514289822822e+00,1.838057510619603e+00
1.835000000000002e-03,1.200000000000000e+01,1.811617199487887e+00,1.844841329542729e+00
1.845000000000002e-03,1.200000000000000e+01,1.818652540426363e+00,1.851560615193201e+00
1.855000000000002e-03,1.200000000000000e+01,1.825620955407625e+00,1.858215981464657e+00
1.865000000000002e-03,1.200000000000000e+01,1.832523081086497e+00,1.864808036410875e+00
1.875000000000002e-03,1.200000000000000e+01,1.839359548061420e+00,1.871337382301321e+00
1.885000000000002e-03,1.200000000000000e+01,1.846130980932061e+00,1.877804615676181e+00
1.895000000000002e-03,1.200000000000000e+01,1.852837998356379e+00,1.884210327400857e+00
1.905000000000002e-03,1.200000000000000e+01,1.859481213107153e+00,1.890555102719955e+00
1.915000000000002e-03,1.200000000000000e+01,1.866061232127960e+00,1.896839521310751e+00
1.925000000000002e-03,1.200000000000000e+01,1.872578656588631e+00,1.903064157336153e+00
1.935000000000002e-03,1.200000000000000e+01,1.879034081940173e+00,1.909229579497159e+00
1.945000000000002e-03,1.200000000000000e+01,1.885428097969175e+00,1.915336351084815e+00
1.955000000000002e-03,1.200000000000000e+01,1.891761288851689e+00,1.921385030031680e+00
1.965000000000002e-03,1.200000000000000e+01,1.898034233206601e+00,1.927376168962796e+00
1.975000000000002e-03,1.200000000000000e+01,1.904247504148502e+00,1.933310315246182e+00
1.985000000000002e-03,1.200000000000000e+01,1.910401669340042e+00,1.939188011042841e+00
1.995000000000002e-03,1.200000000000000e+01,1.916497291043797e+00,1.945009793356297e+00
2.005000000000002e-03,1.200000000000000e+01,1.922534926173638e+00,1.950776194081649e+00
2.015000000000002e-03,1.200000000000000e+01,1.928515126345613e+00,1.956487740054175e+00
2.025000000000002e-03,1.200000000000000e+01,1.934438437928344e+00,1.962144953097463e+00
2.035000000000003e-03,1.200000000000000e+01,1.940305402092945e+00,1.967748350071083e+00
2.045000000000003e-03,1.200000000000000e+01,1.946116554862464e+00,1.973298442917812e+00
2.055000000000003e-03,1.200000000000000e+01,1.951872427160856e+00,1.978795738710403e+00
2.065000000000003e-03,1.200000000000000e+01,1.957573544861491e+00,1.984240739697922e+00
2.075000000000003e-03,1.200000000000000e+01,1.963220428835198e+00,1.989633943351622e+00
2.085000000000003e-03,1.200000000000000e+01,1.968813594997854e+00,1.994975842410402e+00
2.095000000000003e-03,1.200000000000000e+01,1.974353554357519e+00,2.000266924925823e+00
2.105000000000003e-03,1.200000000000000e+01,1.979840813061122e+00,2.005507674306696e+00
2.115000000000003e-03,1.200000000000000e+01,1.985275872440708e+00,2.010698569363251e+00
2.125000000000003e-03,1.200000000000000e+01,1.990659229059238e+00,2.015840084350882e+00
2.135000000000003e-03,1.200000000000000e+01,1.995991374755956e+00,2.020932689013470e+00
2.145000000000003e-03,1.200000000000000e+01,2.001272796691327e+00,2.025976848626311e+00
2.155000000000003e-03,1.200000000000000e+01,2.006503977391545e+00,2.030973024038617e+00
2.165000000000003e-03,1.200000000000000e+01,2.011685394792616e+00,2.035921671715622e+00
2.175000000000003e-03,1.200000000000000e+01,2.016817522284028e+00,2.040823243780288e+00
2.185000000000003e-03,1.200000000000000e+01,2.021900828751993e+00,2.045678188054609e+00
2.195000000000003e-03,1.200000000000000e+01,2.026935778622295e+00,2.050486948100529e+00
2.205000000000003e-03,1.200000000000000e+01,2.031922831902718e+00,2.055249963260466e+00
2.215000000000003e-03,1.200000000000000e+01,2.036862444225071e+00,2.059967668697450e+00
2.225000000000003e-03,1.200000000000000e+01,2.041755066886819e+00,2.064640495434882e+00
2.235000000000003e-03,1.200000000000000e+01,2.046601146892315e+00,2.069268870395915e+00
2.245000000000003e-03,1.200000000000000e+01,2.051401126993635e+00,2.073853216442453e+00
2.255000000000003e-03,1.200000000000000e+01,2.056155445731036e+00,2.078393952413794e+00
2.265000000000003e-03,1.200000000000000e+01,2.060864537473017e+00,2.082891493164890e+00
2.275000000000003e-03,1.200000000000000e+01,2.065528832456007e+00,2.087346249604251e+00
2.285000000000003e-03,1.200000000000000e+01,2.070148756823672e+00,2.091758628731487e+00
2.295000000000003e-03,1.200000000000000e+01,2.074724732665848e+00,2.096129033674492e+00
2.305000000000003e-03,1.200000000000000e+01,2.079257178057104e+00,2.100457863726275e+00
2.315000000000003e-03,1.200000000000000e+01,2.083746507094941e+00,2.104745514381443e+00
2.325000000000003e-03,1.200000000000000e+01,2.088193129937622e+00,2.108992377372330e+00
2.335000000000003e-03,1.200000000000000e+01,2.092597452841647e+00,2.113198840704792e+00
2.345000000000003e-03,1.200000000000000e+01,2.096959878198872e+00,2.117365288693652e+00
2.355000000000003e-03,1.200000000000000e+01,2.101280804573268e+00,2.121492101997815e+00
2.365000000000003e-03,1.200000000000000e+01,2.105560626737337e+00,2.125579657655044e+00
2.375000000000003e-03,1.200000000000000e+01,2.109799735708180e+00,2.129628329116409e+00
2.385000000000003e-03,1.200000000000000e+01,2.113998518783223e+00,2.133638486280404e+00
2.395000000000003e-03,1.200000000000000e+01,2.118157359575598e+00,2.137610495526747e+00
2.405000000000003e-03,1.200000000000000e+01,2.122276638049193e+00,2.141544719749848e+00
2.415000000000004e-03,1.200000000000000e+01,2.126356730553368e+00,2.145441518391968e+00
2.425000000000004e-03,1.200000000000000e+01,2.130398009857337e+00,2.149301247476056e+00
2.435000000000004e-03,1.200000000000000e+01,2.134400845184227e+00,2.153124259638278e+00
2.445000000000004e-03,1.200000000000000e+01,2.138365602244809e+00,2.156910904160235e+00
2.455000000000004e-03,1.200000000000000e+01,2.142292643270913e+00,2.160661527000872e+00
2.465000000000004e-03,1.200000000000000e+01,2.146182327048521e+00,2.164376470828089e+00
2.475000000000004e-03,1.200000000000000e+01,2.150035008950549e+00,2.168056075050047e+00
2.485000000000004e-03,1.200000000000000e+01,2.153851040969310e+00,2.171700675846175e+00
2.495000000000004e-03,1.200000000000000e+01,2.157630771748679e+00,2.175310606197889e+00
2.505000000000004e-03,1.200000000000000e+01,2.161374546615942e+00,2.178886195919011e+00
2.515000000000004e-03,1.200000000000000e+01,2.165082707613348e+00,2.182427771685900e+00
2.525000000000004e-03,1.200000000000000e+01,2.168755593529358e+00,2.185935657067303e+00
2.535000000000004e-03,1.200000000000000e+01,2.172393539929597e+00,2.189410172553913e+00
2.545000000000004e-03,1.200000000000000e+01,2.175996879187517e+00,2.192851635587653e+00
2.555000000000004e-03,1.200000000000000e+01,2.179565940514756e+00,2.196260360590676e+00
2.565000000000004e-03,1.200000000000000e+01,2.183101049991222e+00,2.199636658994093e+00
2.575000000000004e-03,1.200000000000000e+01,2.186602530594882e+00,2.202980839266425e+00
2.585000000000004e-03,1.200000000000000e+01,2.190070702231270e+00,2.206293206941786e+00
2.595000000000004e-03,1.200000000000000e+01,2.193505881762716e+00,2.209574064647801e+00
2.605000000000004e-03,1.200000000000000e+01,2.196908383037294e+00,2.212823712133249e+00
2.615000000000004e-03,1.200000000000000e+01,2.200278516917496e+00,2.216042446295451e+00
2.625000000000004e-03,1.200000000000000e+01,2.203616591308635e+00,2.219230561207398e+00
2.635000000000004e-03,1.200000000000000e+01,2.206922911186975e+00,2.222388348144617e+00
2.645000000000004e-03,1.200000000000000e+01,2.210197778627595e+00,2.225516095611781e+00
2.655000000000004e-03,1.200000000000000e+01,2.213441492831985e+00,2.228614089369069e+00
2.665000000000004e-03,1.200000000000000e+01,2.216654350155385e+00,2.231682612458273e+00
2.675000000000004e-03,1.200000000000000e+01,2.219836644133861e+00,2.234721945228661e+00
2.685000000000004e-03,1.200000000000000e+01,2.222988665511123e+00,2.237732365362586e+00
2.695000000000004e-03,1.200000000000000e+01,2.226110702265083e+00,2.240714147900857e+00
2.705000000000004e-03,1.200000000000000e+01,2.229203039634175e+00,2.243667565267871e+00
2.715000000000004e-03,1.200000000000000e+01,2.232265960143407e+00,2.246592887296497e+00
2.725000000000004e-03,1.200000000000000e+01,2.235299743630176e+00,2.249490381252733e+00
2.735000000000004e-03,1.200000000000000e+01,2.238304667269839e+00,2.252360311860122e+00
2.745000000000004e-03,1.200000000000000e+01,2.241281005601029e+00,2.255202941323940e+00
2.755000000000004e-03,1.200000000000000e+01,2.244229030550743e+00,2.258018529355149e+00
2.765000000000004e-03,1.200000000000000e+01,2.247149011459184e+00,2.260807333194126e+00
2.775000000000004e-03,1.200000000000000e+01,2.250041215104369e+00,2.263569607634169e+00
2.785000000000004e-03,1.200000000000000e+01,2.252905905726502e+00,2.266305605044767e+00
2.795000000000005e-03,1.200000000000000e+01,2.255743345052119e+00,2.269015575394666e+00
2.805000000000005e-03,1.200000000000000e+01,2.258553792317997e+00,2.271699766274705e+00
