time,V(isense_adc),V(isense_raw),V(shunt_node)
9.355586217261000e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.360586217261000e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.365586217261000e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.370586217260999e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.375586217260999e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.380586217260999e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.385586217260999e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.390586217260999e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.395586217260998e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.400586217260998e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.405586217260998e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.410586217260998e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.415586217260997e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.420586217260997e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.425586217260997e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.430586217260997e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.435586217260997e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.440586217260996e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.445586217260996e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.450586217260996e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.455586217260996e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.460586217260996e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.465586217260995e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.470586217260995e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.475586217260995e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.480586217260995e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.485586217260995e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.490586217260994e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.495586217260994e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.500586217260994e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.505586217260994e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.510586217260994e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.515586217260993e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.520586217260993e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.525586217260993e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.530586217260993e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.535586217260993e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.540586217260992e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.545586217260992e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.550586217260992e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.555586217260992e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.560586217260992e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.565586217260991e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.570586217260991e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.575586217260991e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.580586217260991e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.585586217260991e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.590586217260990e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.595586217260990e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.600586217260990e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.605586217260990e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.610586217260990e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.615586217260989e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.620586217260989e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.625586217260989e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.630586217260989e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.635586217260989e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.640586217260988e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.645586217260988e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.650586217260988e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.655586217260988e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.660586217260987e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.665586217260987e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.670586217260987e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.675586217260987e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.680586217260987e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.685586217260986e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.690586217260986e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.695586217260986e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.700586217260986e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.705586217260986e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.710586217260985e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.715586217260985e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.720586217260985e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.725586217260985e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.730586217260985e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
