time,V(sw),I(Rmotor),I(Dfly)
5.102807843869464e-05,7.435390085345505e-01,1.546404451282715e-01,1.079822639700190e-03
5.200065529654405e-05,8.040548992099912e-01,1.630865245274462e-01,-1.072703680711218e-03
5.300065529654405e-05,8.412845937094174e-01,1.715863046380304e-01,1.076952065481862e-03
5.400065529654405e-05,9.037719809828358e-01,1.799016964028315e-01,-1.069767393124810e-03
5.500065529654405e-05,9.403926097343038e-01,1.880359289689261e-01,1.073964792515092e-03
5.600065529654404e-05,1.003622366103353e+00,1.959915097668903e-01,-1.066665176772119e-03
5.700065529654404e-05,1.039840962142837e+00,2.037714741889383e-01,1.070833235403690e-03
5.800065529654404e-05,1.103978181931947e+00,2.113781597844602e-01,-1.063398393559289e-03
5.900065529654404e-05,1.139835206958392e+00,2.188144965878772e-01,1.067541695385366e-03
6.000065529654403e-05,1.205071459537753e+00,2.260826435038062e-01,-1.059947934751726e-03
6.100065529654403e-05,1.240617265543535e+00,2.331854248115255e-01,1.064072282468409e-03
6.200065529654403e-05,1.307183722326752e+00,2.401248056412634e-01,-1.056290883645339e-03
6.300065529654402e-05,1.342479098165261e+00,2.469035040952228e-01,1.060403409569588e-03
6.400065529654402e-05,1.410659824344676e+00,2.535232700533022e-01,-1.052398948009348e-03
6.500065529654402e-05,1.445779981539207e+00,2.599867133892989e-01,1.056508613306306e-03
6.600065529654402e-05,1.515931405979664e+00,2.662953379725361e-01,-1.048236498650823e-03
6.700065529654401e-05,1.550971994622195e+00,2.724516409339585e-01,1.052354847081993e-03
6.800065529654401e-05,1.623552575315185e+00,2.784568352168874e-01,-1.043757574317183e-03
6.900065529654401e-05,1.658639224592774e+00,2.843132967473692e-01,1.047899926742701e-03
7.000065529654400e-05,1.734256660889660e+00,2.900218800556662e-01,-1.038901110446133e-03
7.100065529654400e-05,1.769560913063067e+00,2.955848247029627e-01,1.043088558332350e-03
7.200065529654400e-05,1.849051431149358e+00,3.010025213029678e-01,-1.033582914855558e-03
7.300065529654400e-05,1.884819162030956e+00,3.062770457103329e-01,1.037845873130827e-03
7.400065529654399e-05,1.969390048397209e+00,3.114081505259669e-01,-1.027681212186771e-03
